key,manufacturer,partnum,qnty a,series a,qnty b,series b,type,package,temp,volt rating,cap_uF(@0V)
0,murata,KRM21FC81E106KFA1,0,0,0,0,mlcc,0805,X6S,25,106
1,murata,KRM31KC81E106KH01,0,0,0,0,mlcc,1206,X6S,25,106
2,murata,KRM31KC8YA106KH01,0,0,0,0,mlcc,1206,X6S,35,106
3,murata,GRM188D72A105ME01,0,0,0,0,mlcc,0603,X7T,100,105
4,murata,GRM188C81E475ME11,0,0,0,0,mlcc,0603,X6S,25,475
5,murata,GRM188C81A106MA73,0,0,0,0,mlcc,0603,X6S,10,106
6,murata,GRM155R62A104ME14,0,0,0,0,mlcc,0402,X5R,100,104
7,murata,GRM188D71H105ME01,0,0,0,0,mlcc,0603,X7T,50,105
8,murata,GRM188C81A226ME01,0,0,0,0,mlcc,0603,X6S,10,226
9,murata,GRM21BR61E226ME44,0,0,0,0,mlcc,0805,X5R,25,226
10,murata,GRM21BR61H106KE43,0,0,0,0,mlcc,0805,X5R,50,106
11,murata,GRM31CD71H106KE11,0,0,0,0,mlcc,1206,X7T,50,106
12,murata,ZRB21CC81H475ME01,0,0,0,0,mlcc,0805,X6S,50,475
13,murata,KRM21FD72A225KFA1,0,0,0,0,mlcc,0805,X7T,100,225
14,murata,GRM188C81E106ME01,0,0,0,0,mlcc,0603,X6S,25,106
15,murata,GRM188R6YA106MA73,8,0,6,0,mlcc,0603,X5R,35,106
16,murata,GRM31CZ72A475ME11,0,0,0,0,mlcc,1206,X7R,100,475
17,murata,GRM188R61E106MA73,0,0,0,0,mlcc,0603,X5R,25,106
18,murata,ZRB21CD72A225ME01,0,0,0,0,mlcc,0805,X7T,100,225
19,murata,ZRB18AR61E106ME01,0,0,0,0,mlcc,0603,X5R,25,106
20,murata,GRM31CC81E226ME11,0,0,0,0,mlcc,1206,X6S,25,226
21,murata,GRM188C8YA225ME11,2,0,2,0,mlcc,0603,X6S,35,225
22,murata,ZRB21CR61H106ME01,0,0,0,0,mlcc,0805,X5R,50,106
23,murata,GRM185C81A475ME11,0,0,0,0,mlcc,0603,X6S,10,475
24,murata,GRM21BC81E106ME11,0,0,0,0,mlcc,0805,X6S,25,106
25,murata,ZRB18AR6YA475ME05,0,0,0,0,mlcc,0603,X5R,35,475
26,murata,KRM31KD71H106KH01,0,0,0,0,mlcc,1206,X7T,50,106
27,murata,GRM155C81H104KE14,2,0,2,0,mlcc,0402,X6S,50,104
28,murata,GRM32EC72A106KE05,0,0,0,0,mlcc,1210,X7S,100,106
29,murata,GRM21BD72A225ME01,0,0,0,0,mlcc,0805,X7T,100,225
30,murata,KRM31KC72A475KH01,0,0,0,0,mlcc,1206,X7S,100,475
31,murata,GRM188C81C106MA73,0,0,0,0,mlcc,0603,X6S,16,106
