key,manufacturer,partnum,qnty a,qnty b,type,package,temp,volt rating,cap_uF(@vbias),ESR_mOhm,ESL_nH,Irms_A,series a,series b
0,Yageo Kemet,T521D107M025A3E030,0,0,SP,D,125,25,100.0,30,2,3.65,0,0
1,Yageo Kemet,T521B156M025AE100,0,0,SP,B,125,25,15.0,100,2,1.41,0,0
2,Yageo Kemet,T521B106M025AE100,0,0,SP,B,125,25,10.0,100,2,1.41,0,0
3,Tokin,PSHB21E156M090B,0,0,SP,B,125,25,15.0,90,2,0.972,0,0
4,Yageo Kemet,T521B156M035ATE150,0,0,SP,B,125,35,15.0,150,2,1.15,0,0
5,Yageo Kemet,T521B156M035ATE100,0,0,SP,B,125,35,15.0,100,2,1.41,0,0
6,Yageo Kemet,T521B106M035ATE100,3,3,SP,B,125,35,10.0,100,2,1.41,0,0
7,Yageo Kemet,T521B106M035A3E150,0,0,SP,B,105,35,10.0,150,2,1.16,0,0
8,Yageo Kemet,T521B106M035A3E200,0,0,SP,B,105,35,10.0,200,2,1.0,0,0
9,Yageo Kemet,T521D336M035A3E065,0,0,SP,D,125,35,33.0,65,2,2.2,0,0
10,Yageo Kemet,T521B155M063AE200,0,0,SP,B,105,63,1.5,200,2,1.0,0,0
11,Yageo Kemet,T521D685M063AE075,0,0,SP,D,125,63,6.8,75,2,2.05,0,0
12,Yageo Kemet,T521X156M063AE035 ,0,0,SP,X,125,63,15.0,35,2,3.38,0,0
