key,manufacturer,partnum,qnty a,series a,qnty b,series b,type,package,temp,volt rating,cap_uF(@0V)
0,murata,KRM21FC81E106KFA1,0,0,0,0,mlcc,805,X6S,25,106
1,murata,KRM31KC81E106KH01,0,0,0,0,mlcc,1206,X6S,25,106
2,murata,KRM31KC8YA106KH01,0,0,0,0,mlcc,1206,X6S,35,106
3,murata,GRM188C81E475ME11,0,0,0,0,mlcc,603,X6S,25,475
4,murata,GRM188C81A106MA73,0,0,0,0,mlcc,603,X6S,10,106
5,murata,GRM188D71H105ME01,0,0,0,0,mlcc,603,X7T,50,105
6,murata,GRM188C81A226ME01,0,0,0,0,mlcc,603,X6S,10,226
7,murata,GRM21BR61E226ME44,0,0,0,0,mlcc,805,X5R,25,226
8,murata,GRM21BR61H106KE43,0,0,0,0,mlcc,805,X5R,50,106
9,murata,GRM31CD71H106KE11,0,0,0,0,mlcc,1206,X7T,50,106
10,murata,GRM188C81E106ME01,0,0,0,0,mlcc,603,X6S,25,106
11,murata,GRM188R6YA106MA73,6,0,10,0,mlcc,603,X5R,35,106
12,murata,GRM188R61E106MA73,0,0,0,0,mlcc,603,X5R,25,106
13,murata,GRM31CC81E226ME11,0,0,0,0,mlcc,1206,X6S,25,226
14,murata,GRM188C8YA225ME11,2,0,2,0,mlcc,603,X6S,35,225
15,murata,GRM185C81A475ME11,0,0,0,0,mlcc,603,X6S,10,475
16,murata,GRM21BC81E106ME11,0,0,0,0,mlcc,805,X6S,25,106
17,murata,KRM31KD71H106KH01,0,0,0,0,mlcc,1206,X7T,50,106
18,murata,GRM155C81H104KE14,2,0,2,0,mlcc,402,X6S,50,104
19,murata,GRM32EC72A106KE05,0,0,0,0,mlcc,1210,X7S,100,106
20,murata,GRM188C81C106MA73,0,0,0,0,mlcc,603,X6S,16,106
