#GRM21BC81E106ME11
#In Production
#2019/08/29
#c_dcbias_capacitance
#capacitance, 25.0degC, AC1Vrms
ESR_mOhm,3,
ESL_nH,0.5,
DC Bias[V],Capacitance[F]
0.0,9.915143E-6
0.125,9.962908365726171E-6
0.25,9.996503731164488E-6
0.375,1.0016424731399721E-5
0.5,1.0023211793969885E-5
0.625,1.0017442505480921E-5
0.75,9.999724297674914E-6
0.875,9.97068751346711E-6
1.0,9.93097890016105E-6
1.125,9.881255564665702E-6
1.25,9.822179414203558E-6
1.375,9.754412095796764E-6
1.5,9.678610438792091E-6
1.625,9.595422396841978E-6
1.75,9.505483479076779E-6
1.875,9.40941365463768E-6
2.0,9.307814710228176E-6
2.125,9.20126803680821E-6
2.25,9.090332818914538E-6
2.375,8.975544598253527E-6
2.5,8.857414182086418E-6
2.625,8.736426866420347E-6
2.75,8.613041944042668E-6
2.875,8.487692467906233E-6
3.0,8.360785241210333E-6
3.125,8.232701006653104E-6
3.25,8.103794808689701E-6
3.375,7.974396504157708E-6
3.5,7.844811398274641E-6
3.625,7.71532098472632E-6
3.75,7.5861837703112E-6
3.875,7.457636166350844E-6
4.0,7.329893430794439E-6
4.125,7.203150646613115E-6
4.25,7.077583723681129E-6
4.375,6.953350412862421E-6
4.5,6.8305913224534506E-6
4.625,6.709430928470186E-6
4.75,6.589978571505258E-6
4.875,6.4723294340190655E-6
5.0,6.3565654929667695E-6
5.125,6.242756443603547E-6
5.25,6.1309605911563954E-6
5.375,6.0212257078064036E-6
5.5,5.913589853095405E-6
5.625,5.808082156460629E-6
5.75,5.704723561115803E-6
5.875,5.603527528942947E-6
6.0,5.504500706441298E-6
6.125,5.4076435521042555E-6
6.25,5.312950925867217E-6
6.375,5.220412641493927E-6
6.5,5.1300139829516094E-6
6.625,5.041736185970193E-6
6.75,4.9555568860928375E-6
6.875,4.871450534607886E-6
7.0,4.7893887838096965E-6
7.125,4.709340843071638E-6
7.25,4.631273807231009E-6
7.375,4.55515295878671E-6
7.5,4.480942045397606E-6
7.625,4.408603534145842E-6
7.75,4.338098843996231E-6
7.875,4.269388557842446E-6
8.0,4.202432615484569E-6
8.125,4.137190488831753E-6
8.25,4.0736213405699E-6
8.375,4.011684167477904E-6
8.5,3.951337929518657E-6
8.625,3.892541665772597E-6
8.75,3.835254598223589E-6
8.875,3.77943622434926E-6
9.0,3.7250463994111762E-6
9.125,3.6720454092850846E-6
9.25,3.6203940346175267E-6
9.375,3.570053607043387E-6
9.5,3.5209860581489426E-6
9.625,3.473153961817153E-6
9.75,3.426520570546385E-6
9.875,3.3810498462902224E-6
10.0,3.336706486325027E-6
10.125,3.293455944612837E-6
10.25,3.2512644490906022E-6
10.375,3.2100990152821703E-6
10.5,3.1699274565970418E-6
10.625,3.1307183916496004E-6
10.75,3.092441248904073E-6
10.875,3.0550662689241564E-6
11.0,3.0185645044814524E-6
11.125,2.982907818754158E-6
11.25,2.948068881826128E-6
11.375,2.9140211656767933E-6
11.5,2.880738937834402E-6
11.625,2.8481972538481186E-6
11.75,2.8163719487193564E-6
11.875,2.785239627418408E-6
12.0,2.7547776545995404E-6
12.125,2.72496414361586E-6
12.25,2.69577794492448E-6
12.375,2.6671986339624747E-6
12.5,2.6392064985654603E-6
12.625,2.6117825259921858E-6
12.75,2.584908389611439E-6
12.875,2.5585664353007287E-6
13.0,2.5327396676005255E-6
13.125,2.5074117356622203E-6
13.25,2.4825669190233935E-6
13.375,2.4581901132397536E-6
13.5,2.4342668153992055E-6
13.625,2.4107831095404255E-6
13.75,2.387725651995135E-6
13.875,2.365081656671118E-6
14.0,2.3428388802903826E-6
14.125,2.3209856075953806E-6
14.25,2.2995106365342256E-6
14.375,2.2784032634348055E-6
14.5,2.257653268176219E-6
14.625,2.2372508993651746E-6
14.75,2.2171868595241427E-6
14.875,2.1974522902973866E-6
15.0,2.1780387576804457E-6
15.125,2.1589382372782015E-6
15.25,2.1401430995965143E-6
15.375,2.121646095371656E-6
15.5,2.1034403409422617E-6
15.625,2.0855193036676716E-6
15.75,2.0678767873968107E-6
15.875,2.050506917991527E-6
16.0,2.033404128908078E-6
16.125,2.0165631468404674E-6
16.25,1.9999789774291948E-6
16.375,1.9836468910387555E-6
16.5,1.9675624086070236E-6
16.625,1.9517212875696535E-6
16.75,1.9361195078621878E-6
16.875,1.9207532580022653E-6
17.0,1.9056189212543116E-6
17.125,1.8907130618783185E-6
17.25,1.8760324114642484E-6
17.375,1.8615738553530861E-6
17.5,1.8473344191449133E-6
